Bundle report (raw filesystem bytes; sorted by size descending, then filename)
Assets directory: dist/assets

Entrypoints
- modern: index-Cc-K3rHU.js = 323.11 KiB
- legacy: index-legacy-CumbyAwY.js = 458.57 KiB

JavaScript chunks
target	size	file
modern	0.26 KiB	chunk-XXDRQBXY-DPhJs6ii.js
legacy	0.22 KiB	eventmodeling-NTZA5JFV-legacy-BBl9VX2M.js
legacy	0.22 KiB	architecture-7GRP2DOG-legacy-CtUqjMao.js
legacy	0.22 KiB	railroad-abnf-HS5TGJTU-legacy-DlS5_MKa.js
legacy	0.22 KiB	railroad-ebnf-LZEXJU2U-legacy-CabQmUPd.js
legacy	0.22 KiB	railroad-peg-WCYAUIDC-legacy-CHYBGOAi.js
modern	0.22 KiB	chunk-JWPE2WC7-B83DJgPi.js
legacy	0.22 KiB	gitGraph-4MIJSDKK-legacy-CENBCBIa.js
legacy	0.22 KiB	railroad-74A4TZTK-legacy-ByXbqAXX.js
legacy	0.22 KiB	treeView-Q6P3EWNA-legacy-hy5B-PGy.js
legacy	0.21 KiB	cynefin-OW5HDTMX-legacy-DoHqTxWf.js
legacy	0.21 KiB	treemap-WGGIJYW6-legacy-CH-HHYvX.js
legacy	0.21 KiB	wardley-WFR3VGLG-legacy-D64_a2dd.js
legacy	0.21 KiB	chunk-Y2CYZVJY-legacy-Bn0-AgRe.js
legacy	0.21 KiB	packet-AYTQ26CC-legacy-D92VezlI.js
legacy	0.21 KiB	radar-RG4KPBEZ-legacy-CUAPuLER.js
legacy	0.21 KiB	info-A6RAGUB7-legacy-CLuU30Tw.js
legacy	0.21 KiB	pie-WAS4IAKB-legacy-C2p8fLVS.js
legacy	0.20 KiB	init-legacy-BqRfMj-2.js
modern	0.19 KiB	chunk-2Q5K7J3B-EancJlwJ.js
legacy	0.18 KiB	channel-legacy-B5hs4X9w.js
legacy	0.17 KiB	array-legacy-D64sz3Z0.js
modern	0.15 KiB	chunk-Y2CYZVJY-Bp4uc2JW.js
modern	0.14 KiB	init-BydxaDEV.js
modern	0.12 KiB	eventmodeling-NTZA5JFV-BEc3ptLP.js
modern	0.12 KiB	architecture-7GRP2DOG-BYwGLnmm.js
modern	0.12 KiB	railroad-abnf-HS5TGJTU-D1lkrexy.js
modern	0.12 KiB	railroad-ebnf-LZEXJU2U-B6VhqoJC.js
modern	0.12 KiB	railroad-peg-WCYAUIDC-CdOKp62_.js
modern	0.12 KiB	gitGraph-4MIJSDKK-DfKeoWpt.js
modern	0.12 KiB	railroad-74A4TZTK-sEE0v1lj.js
modern	0.12 KiB	treeView-Q6P3EWNA-DmmP_S5Q.js
modern	0.12 KiB	cynefin-OW5HDTMX-D5JbfHjK.js
modern	0.12 KiB	treemap-WGGIJYW6-CqvoviwS.js
modern	0.12 KiB	wardley-WFR3VGLG-DvMGz8CS.js
modern	0.12 KiB	packet-AYTQ26CC-CVAHiNss.js
modern	0.12 KiB	radar-RG4KPBEZ-Bjni7-fT.js
modern	0.12 KiB	info-A6RAGUB7-DXNcoOt-.js
modern	0.11 KiB	pie-WAS4IAKB-BMN4twka.js
modern	0.11 KiB	channel-DYS73mS7.js
modern	0.10 KiB	array-BpsnM-Py.js

Largest load units (chunk-level dependency/module proxy)
rank	target	size	file
1	legacy	996.19 KiB	github.min-legacy-mA468bxD.js
2	modern	891.05 KiB	github.min-yEsRrdW8.js
3	legacy	705.02 KiB	chunk-FOHPRMQF-legacy-h03jXLHY.js
4	modern	648.38 KiB	chunk-FOHPRMQF-BYShhrbZ.js
5	legacy	458.57 KiB	index-legacy-CumbyAwY.js
6	legacy	457.51 KiB	MarkdownRenderer-legacy-CYGmXZIg.js
7	modern	425.63 KiB	cytoscape.esm-BJje7HrP.js
8	legacy	424.66 KiB	cytoscape.esm-legacy-DxkKFpgI.js
9	modern	364.76 KiB	MarkdownRenderer-CqiwdXeC.js
10	modern	323.11 KiB	index-Cc-K3rHU.js
11	legacy	270.28 KiB	SettingsPanel-legacy-CVO6u-S0.js
12	modern	264.43 KiB	SettingsPanel-ggzPvI6u.js
